dbn,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,QR_1_1,QR_1_2,QR_2_2,QR_3_4,QR_4_2,QR_1_4,QR_1_3,QR_3_1,QR_4_1,QR_5_1,Dates_of_Review,gender_female_pct,gender_male_pct,ELL,IEP,cap_setss_pct,cap_ctt_pct,cap_sc_pct,eni_pct,temp_housing_pct,hra_elig_pct,ethnicity_asian_pct,ethnicity_black_pct,ethnicity_hispanic_pct,ethnicity_amerindian_pct,ethnicity_pacific_pct,ethnicity_white_pct,teacher_ethnicity_asian_pct,teacher_ethnicity_black_pct,teacher_ethnicity_hispanic_pct,teacher_ethnicity_amerindian_pct,teacher_ethnicity_pacific_pct,teacher_ethnicity_white_pct,median_distance,near_pct_asian,near_pct_black,near_pct_hispanic,near_pct_amerindian,near_pct_pacific,near_pct_white,ethnicity_asian_pct_dist,ethnicity_black_pct_dist,ethnicity_hispanic_pct_dist,ethnicity_amerindian_pct_dist,ethnicity_pacific_pct_dist,ethnicity_white_pct_dist,Principal_experience,Teach_3_more_exp,val_attendance_k3_all,Teacher_attendance,pct_fully_receiving_swd,pct_partially_receiving_swd,pct_not_receiving_swd,pct_fully_receiving_rs,pct_partially_receiving_rs,pct_not_receiving_rs,n_chronic_absent_all,val_chronic_absent_all,n_lre_all,val_lre_all,rr_s,rr_t,rr_p,principal,n_attendance_inperson_k3_all,val_attendance_inperson_k3_all,n_attendance_k3_all,n_attendance_remote_k3_all,val_attendance_remote_k3_all
30Q384,P.S. 384,K-2,136,0.94,0.98,1,0.98,0.95,0.97,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,Well Developed,Well Developed,2020-02-01T00:00:00.000,0.478,0.522,0.11,0.125,0,0.044,0.015,0.231,0,0.199,0.279,0.088,0.169,0.007,0,0.419,No Data,0,0,0,0,0.8,0.7,0.202,0.234,0.365,0.009,0.006,0.151,0.215,0.044,0.564,0.008,0.002,0.151,3.2,0.8,0.966,0.969,0.75,No Data,No Data,0.9,No Data,No Data,139,0.95,6,0,N/A,100%,80%,CHRISTINE BRITTON,106,0.96,164,158,0.971
30Q398,The Hector Figueroa School,K-1,131,0.67,0.8,0.81,0.82,0.95,0.8,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.466,0.534,0.397,0.122,0,0.092,0,0.631,0.069,0.573,0.366,0.008,0.496,0.008,0,0.092,0.333,No Data,0.4,No Data,No Data,No Data,0.3,0.519,0.005,0.385,0.009,0.002,0.065,0.215,0.044,0.564,0.008,0.002,0.151,2.2,0.267,0.944,0.978,1,0,0,0.91,No Data,No Data,135,0.83,10,0.4,N/A,94%,93%,No Data,94,0.935,135,135,0.952
84K910,Cypress Hills Ascend Charter School,K-3,283,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.491,0.509,0.194,0.159,0.018,0.102,0.011,0.766,0.049,0.693,0.06,0.173,0.724,0.007,0.007,0.014,0,0,0,0,0,0,0.6,0.341,0.107,0.488,0.028,0.007,0.022,0.111,0.353,0.488,0.017,0.006,0.018,2,0.6,0.998,0.95,No Data,No Data,No Data,No Data,No Data,No Data,287,1,33,0.55,N/A,N/A,N/A,No Data,No Data,No Data,296,306,1
84K927,Ivy Hill Preparatory Charter School,K-2,178,0.83,0.92,0.92,0.92,0.97,0.96,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.511,0.489,0.022,0.14,0.011,0.101,0,0.735,0.067,0.685,0.006,0.882,0.062,0,0.011,0.022,0,0.792,No Data,0,No Data,No Data,1.2,0.017,0.842,0.081,0.012,0.003,0.03,0.018,0.829,0.084,0.011,0.006,0.045,3,0.53,0.958,0.96,No Data,No Data,No Data,No Data,No Data,No Data,175,0.897,21,0.43,N/A,52%,37%,No Data,No Data,No Data,177,192,1
84K929,East Brooklyn Ascend Charter School,K-1,46,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.413,0.587,0.022,0.239,0.022,0.152,0.022,0.818,0.022,0.739,0.022,0.391,0.5,0,0.022,0,0,0,0,0,0,0,1.1,0.205,0.212,0.522,0.02,0.005,0.025,0.111,0.353,0.488,0.017,0.006,0.018,1,0.75,0.999,0.79,No Data,No Data,No Data,No Data,No Data,No Data,49,1,10,0.6,N/A,N/A,N/A,No Data,No Data,No Data,53,55,1
84K930,LEEP Dual Language Academy Charter School,K-2,245,No Data,No Data,No Data,0.94,0.96,0.98,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.576,0.424,0.527,0.188,0,0.118,0.008,0.793,0.082,0.698,0.041,0.057,0.82,0.008,0.004,0.057,No Data,0,0.75,0,0,No Data,0.6,0.545,0.008,0.397,0.003,0.001,0.042,0.203,0.067,0.334,0.004,0.003,0.342,No Data,No Data,0.916,No Data,No Data,No Data,No Data,No Data,No Data,No Data,234,0.705,29,0.38,N/A,N/A,37%,No Data,No Data,No Data,234,254,1
84K933,Lefferts Gardens Ascend Charter School,K-2,116,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.466,0.534,0.06,0.164,0.009,0.069,0,0.711,0.103,0.638,0,0.879,0.052,0.026,0.009,0,0,0,0,0,0,0,0.8,0.03,0.64,0.219,0.015,0.003,0.067,0.024,0.689,0.199,0.012,0.006,0.054,2,0.9,0.991,0.98,No Data,No Data,No Data,No Data,No Data,No Data,119,1,7,0.14,N/A,N/A,N/A,No Data,No Data,No Data,121,122,1
84K934,East Flatbush Ascend Charter School,K-2,141,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.539,0.461,0.064,0.135,0,0.092,0,0.734,0.05,0.674,0.007,0.823,0.043,0.092,0.014,0.014,0,0,0,0,0,0,0.9,0.02,0.797,0.108,0.014,0.003,0.039,0.018,0.829,0.084,0.011,0.006,0.045,3,0.88,0.951,0.98,No Data,No Data,No Data,No Data,No Data,No Data,143,0.832,9,0.67,N/A,N/A,N/A,No Data,No Data,No Data,146,149,1
84K937,Brooklyn RISE Charter School,K-2,148,0.83,0.76,0.88,0.78,0.93,0.91,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.453,0.547,0.399,0.25,0,0.203,0,0.819,0.081,0.743,0.135,0.047,0.736,0,0,0.081,No Data,No Data,0.286,0,0,0.524,0.5,0.488,0.008,0.453,0.003,0.001,0.043,0.203,0.067,0.334,0.004,0.003,0.342,No Data,No Data,0.938,No Data,No Data,No Data,No Data,No Data,No Data,No Data,151,0.801,28,0.25,N/A,67%,52%,No Data,No Data,No Data,158,155,1
84M373,Zeta Charter Schools - Inwood 1,K-3,439,No Data,No Data,No Data,0.96,0.98,0.98,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.503,0.497,0.278,0.178,0.007,0.109,0.007,0.828,0.189,0.711,0.005,0.171,0.77,0.005,0,0.03,No Data,No Data,No Data,No Data,No Data,No Data,1.3,0.01,0.155,0.761,0.006,0.003,0.05,0.01,0.072,0.834,0.003,0.001,0.063,No Data,No Data,0.939,No Data,No Data,No Data,No Data,No Data,No Data,No Data,426,0.81,51,0.35,N/A,N/A,68%,No Data,No Data,No Data,454,458,1
84M380,Harlem Village Academy West 2 Charter School,K-2,136,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.485,0.515,0.081,0.25,0.007,0.11,0.015,0.826,0.14,0.743,0,0.794,0.191,0,0,0,0,0.3,0.25,0,0,0.45,1,0.029,0.427,0.438,0.01,0.004,0.07,0.015,0.51,0.409,0.009,0.006,0.037,4,0.78,0.891,0.83,No Data,No Data,No Data,No Data,No Data,No Data,138,0.638,19,0.37,N/A,N/A,1%,No Data,No Data,No Data,153,138,1
84M383,Storefront Academy Harlem Charter School,K-2,65,No Data,No Data,No Data,0.99,0.98,0.98,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.446,0.554,0.092,0.277,0,0.215,0.015,0.93,0.185,0.892,0,0.708,0.231,0.031,0,0.015,No Data,0.333,0.6,No Data,No Data,No Data,0.9,0.019,0.443,0.458,0.01,0.004,0.045,0.015,0.51,0.409,0.009,0.006,0.037,2,0.6,0.831,0.97,No Data,No Data,No Data,No Data,No Data,No Data,61,0.443,12,0.25,N/A,N/A,44%,No Data,No Data,No Data,66,68,0.881
84Q385,Elm Community Charter School,K-3,231,0.83,0.67,0.84,0.7,0.98,0.82,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.498,0.502,0.368,0.143,0,0.091,0.004,0.71,0.078,0.632,0.095,0.061,0.762,0.004,0,0.065,0.233,0.267,0.3,0,0,No Data,3.6,0.165,0.235,0.459,0.018,0.005,0.1,0.18,0.016,0.696,0.006,0.002,0.095,3,0.48,1,0.98,No Data,No Data,No Data,No Data,No Data,No Data,232,1,25,0.4,N/A,100%,85%,No Data,No Data,No Data,233,247,1
84Q414,Renaissance Charter School 2,K-1,142,0.9,0.97,0.99,0.97,0.97,0.97,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.57,0.43,0.324,0.148,0,0.085,0.007,0.685,0.127,0.577,0.099,0.085,0.739,0.007,0,0.042,No Data,No Data,No Data,0,0,0.429,2.5,0.222,0.058,0.533,0.008,0.003,0.16,0.18,0.016,0.696,0.006,0.002,0.095,1,0,0.957,0.98,No Data,No Data,No Data,No Data,No Data,No Data,145,0.89,12,0.83,N/A,95%,59%,No Data,No Data,No Data,148,160,1
84R076,Bridge Preparatory Charter School,K-3,157,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.452,0.548,0.013,0.656,0.051,0.51,0.025,0.664,0.089,0.605,0.006,0.293,0.338,0.019,0,0.312,No Data,No Data,0.214,0,0,0.643,2.3,0.145,0.16,0.359,0.006,0.004,0.301,0.123,0.113,0.308,0.005,0.002,0.426,No Data,No Data,0.86,No Data,No Data,No Data,No Data,No Data,No Data,No Data,164,0.659,90,0.49,N/A,N/A,1%,No Data,No Data,No Data,168,164,1
84R077,Hellenic Classical Charter School - Staten Island,K-2,157,0.95,0.98,0.97,0.98,0.96,0.97,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.497,0.503,0.032,0.146,0.083,0.006,0,0.363,0.025,0.274,0.051,0.089,0.306,0.006,0,0.497,0,No Data,No Data,0,0,0.882,2.8,0.157,0.13,0.386,0.005,0.003,0.29,0.123,0.113,0.308,0.005,0.002,0.426,2,0.55,0.97,0.98,No Data,No Data,No Data,No Data,No Data,No Data,169,0.917,11,0.64,N/A,76%,98%,No Data,No Data,No Data,171,171,0.971
84X586,Brilla Veritas Charter School,K-3,373,0.8,0.86,0.82,0.87,0.99,0.94,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.52,0.48,0.244,0.204,0.024,0.107,0,0.871,0.126,0.777,0.003,0.279,0.692,0.011,0.003,0.005,No Data,No Data,0.487,0,0,0.359,0.7,0.006,0.329,0.628,0.011,0.002,0.017,0.005,0.288,0.671,0.012,0.002,0.013,2,0.72,0.927,0.85,No Data,No Data,No Data,No Data,No Data,No Data,373,0.751,44,0.34,N/A,67%,23%,No Data,No Data,No Data,383,382,1
